Nuclide;chain;E;σ  E;I;σ  I;Level
212Bi;232Th;727;0.009;6.58;0.05;727.33
214Bi;238U;609.312;0.007;43.1;0.5;609.316
214Bi;238U;768.356;0.01;4.94;0.06;1377.675
214Bi;238U;934.061;0.012;3.03;0.04;1543.375
214Bi;238U;1120.287;0.01;15.1;0.2;1729.611
214Bi;238U;1238.11;0.012;5.79;0.08;1847.431
214Bi;238U;1377.669;0.012;4;0.06;1377.675
214Bi;238U;1407.98;0.04;2.15;0.05;2017.3
214Bi;238U;1509.228;0.015;2.11;0.04;2118.552
214Bi;238U;1729.595;0.015;2.92;0.04;1729.611
214Bi;238U;1764.494;0.014;15.4;0.2;1764.498
214Bi;238U;2447.86;0.1;1.57;0.02;2447.7
208TI;232Th;510.77;0.1;22.6;0.3;3708.44
208TI;232Th;583.191;0.002;84.5;0.7;3197.743
208TI;232Th;860.564;0.005;12.42;0.1;3475.113
208TI;232Th;2614.533;0.013;99.16;;2614.551
214Pb;238U;351.932;0.002;37.6;0.4;351.932
228Ac;232Th;911.204;0.004;25.8;0.4;968.968
228Ac;232Th;968.971;0.017;15.8;0.3;968.968
228Ac;232Th;1588.2;0.03;3.22;0.08;1645.954
60Co;;1173.2;;;;
60Co;;1332.5;;;;
137Cs;;661.7;;;;
40K;;1504.9;;;;